Raw file	Scan number	Scan index	Retention time	Cycle time	Ion injection time	Base peak intensity	Total ion current	MS/MS count	Mass calibration	Peak length	Isotope pattern length	Multiplet length	Peaks / s	Single peaks / s	Isotope patterns / s	Single isotope patterns / s	Multiplets / s	Identified multiplets / s	Multiplet identification rate [%]	Intens Comp Factor	CTCD Comp	RawOvFtT	AGC Fill
hs0101	1	0	20.004	0.38647	100	761.84	8748	0	1.7329	1.768	23.58	23.58	16.36	15.17	0.5995	0	0.5995	0.01587	2.647	0.5509	9.663	5451.7	0.0900000035762787
hs0101	2	1	20.011	0.26733	100	19209000	38001000	0	1.7329	1.78	23.7	23.7	16.45	15.26	0.6019	0	0.6019	0.01587	2.637	1.4915	9.663	2669403.8	0.0900000035762787
hs0101	3	2	20.015	0.26756	100	19204000	38241000	0	1.7329	1.789	23.79	23.79	16.52	15.32	0.6036	0	0.6036	0.01587	2.63	1.493	9.663	2676216	0.00999999977648258
hs0101	4	3	20.02	0.26733	4.1	68284000	113720000	0	1.7329	1.797	23.87	23.87	16.59	15.39	0.6052	0	0.6052	0.01587	2.623	0.827	9.663	567507.1	1
hs0101	5	4	20.024	0.26756	4	66139000	109530000	0	1.7329	1.805	23.96	23.96	16.65	15.45	0.6069	0	0.6069	0.01587	2.615	0.8174	9.663	543616	1
hs0101	6	5	20.029	0.60345	1.3	85803000	134310000	1	1.7329	1.814	24.04	24.04	16.72	15.51	0.6085	0	0.6085	0.01587	2.608	0.7033	9.663	258163.3	1
hs0101	8	6	20.039	0.6015	1.1	81636000	126200000	1	1.7329	1.833	24.23	24.23	16.87	15.66	0.6123	0	0.6123	0.01587	2.593	0.6749	9.663	208875.7	1
hs0101	10	7	20.049	0.26756	1.1	83626000	129050000	0	1.7329	1.852	24.43	24.43	17.02	15.8	0.616	0	0.616	0.01587	2.577	0.6815	9.663	219690.3	1
hs0101	11	8	20.053	0.26733	1.1	83665000	129950000	0	1.7329	1.86	24.51	24.51	17.09	15.86	0.6176	0	0.6176	0.01587	2.57	0.6802	9.663	217589.6	1
hs0101	12	9	20.058	0.26745	1.1	75090000	112160000	0	1.7329	1.868	24.6	24.6	17.16	15.92	0.6193	0	0.6193	0.01587	2.563	0.6643	9.663	191448.2	1
hs0101	13	10	20.062	0.26733	1.1	85680000	132300000	0	1.7329	1.877	24.68	24.68	17.22	15.99	0.6209	0	0.6209	0.01587	2.556	0.6784	9.663	214632.6	1
hs0101	14	11	20.067	0.26756	1.2	83694000	128800000	0	1.7329	1.885	24.77	24.77	17.29	16.05	0.6226	0	0.6226	0.01587	2.55	0.689	9.663	231987.6	1
hs0101	15	12	20.071	0.26733	1.1	85089000	131630000	0	1.7329	1.894	24.85	24.85	17.36	16.11	0.6242	0	0.6242	0.01587	2.543	0.6757	9.663	210144.3	1
hs0101	16	13	20.076	0.26756	1.1	85544000	130340000	0	1.7329	1.902	24.94	24.94	17.42	16.18	0.6259	0	0.6259	0.01587	2.536	0.6767	9.663	211783.5	1
hs0101	17	14	20.08	0.26733	1	85809000	132660000	0	1.7329	1.91	25.02	25.02	17.49	16.24	0.6275	0	0.6275	0.01587	2.529	0.6738	9.663	207048.7	1
hs0101	18	15	20.085	0.26756	1	82865000	126600000	0	1.7329	1.919	25.11	25.11	17.56	16.3	0.6292	0	0.6292	0.01587	2.523	0.6696	9.663	200138.4	1
hs0101	19	16	20.089	0.26733	1	88676000	135720000	0	1.7329	1.927	25.19	25.19	17.62	16.37	0.6308	0	0.6308	0.01587	2.516	0.6767	9.663	211730.8	1
hs0101	20	17	20.093	0.26745	1.1	78275000	116970000	0	1.7329	1.935	25.28	25.28	17.69	16.43	0.6325	0	0.6325	0.01587	2.51	0.6639	7.514	190810.6	1
hs0101	21	18	20.098	0.26733	0.97	87626000	133720000	0	1.7329	1.944	25.36	25.36	17.76	16.49	0.6341	0	0.6341	0.01587	2.503	0.6697	7.514	200281.7	1
hs0101	22	19	20.102	0.26756	1.1	85778000	129140000	0	1.7329	1.952	25.45	25.45	17.82	16.56	0.6358	0	0.6358	0.01587	2.497	0.6818	7.514	220171.8	1
hs0101	23	20	20.107	0.26745	1.3	78629000	117890000	0	1.7329	1.961	25.54	25.54	17.89	16.62	0.6374	0	0.6374	0.01587	2.49	0.6841	7.514	223965.1	1
hs0101	24	21	20.111	0.26745	1.3	83292000	127470000	0	1.7329	1.969	25.62	25.62	17.96	16.68	0.6391	0	0.6391	0.01587	2.484	0.6951	7.514	241891.4	1
hs0101	25	22	20.116	0.26745	1.4	83374000	130580000	0	1.7329	1.977	25.71	25.71	18.03	16.75	0.6407	0	0.6407	0.01587	2.477	0.7067	7.514	266633.7	1
hs0101	26	23	20.12	0.26745	1.3	83842000	128240000	0	1.7329	1.986	25.79	25.79	18.09	16.81	0.6424	0	0.6424	0.01587	2.471	0.6971	7.514	245246.3	1
hs0101	27	24	20.125	0.26733	1.3	86587000	134900000	0	1.7329	1.994	25.88	25.88	18.16	16.87	0.644	0	0.644	0.01587	2.465	0.7013	7.514	253149.6	1
hs0101	28	25	20.129	0.26756	1.3	76876000	114930000	0	1.7329	2.003	25.96	25.96	18.23	16.94	0.6457	0	0.6457	0.01587	2.458	0.6826	7.514	221412.2	1
hs0101	29	26	20.134	0.26733	1.2	86726000	132690000	0	1.7329	2.011	26.05	26.05	18.29	17	0.6473	0	0.6473	0.01587	2.452	0.6958	7.514	243046.5	1
hs0101	30	27	20.138	0.26745	1.4	76324000	117020000	0	1.7329	2.019	26.13	26.13	18.36	17.06	0.649	0	0.649	0.01587	2.446	0.6961	7.514	243620	1
hs0101	31	28	20.142	0.26745	1.2	77535000	116020000	0	1.7329	2.028	26.22	26.22	18.43	17.13	0.6506	0	0.6506	0.01587	2.44	0.6799	7.514	217079.4	1
hs0101	32	29	20.147	0.26745	1.4	79008000	118530000	0	1.7329	2.036	26.3	26.3	18.49	17.19	0.6523	0	0.6523	0.01587	2.433	0.697	7.514	245079	1
hs0101	33	30	20.151	0.26745	1.4	85237000	131080000	0	1.7329	2.044	26.39	26.39	18.56	17.25	0.6539	0	0.6539	0.01587	2.427	0.7074	7.514	268571.3	1
hs0101	34	31	20.156	0.26745	1.4	85742000	130670000	0	1.7329	2.053	26.47	26.47	18.63	17.32	0.6556	0	0.6556	0.01587	2.421	0.7044	7.514	260987.7	1
hs0101	35	32	20.16	0.26745	1.2	86824000	131670000	0	1.7329	2.061	26.56	26.56	18.69	17.38	0.6572	0	0.6572	0.01587	2.415	0.6949	7.514	241689.3	1
hs0101	36	33	20.165	0.26745	1.3	86599000	132810000	0	1.7329	2.07	26.64	26.64	18.76	17.44	0.6589	0	0.6589	0.01587	2.409	0.6963	7.514	244005.1	1
hs0101	37	34	20.169	0.26733	1.2	87980000	133400000	0	1.7329	2.078	26.73	26.73	18.83	17.5	0.6605	0	0.6605	0.01587	2.403	0.6969	7.514	244853.3	1
hs0101	38	35	20.174	0.26756	1.2	77838000	116710000	0	1.7329	2.086	26.82	26.82	18.89	17.57	0.6622	0	0.6622	0.01587	2.397	0.6801	7.514	217445.6	1
hs0101	39	36	20.178	0.26733	1.2	86006000	130750000	0	1.7329	2.095	26.9	26.9	18.96	17.63	0.6639	0	0.6639	0.01587	2.391	0.6911	6.693	235413.1	1
hs0101	40	37	20.183	0.26745	1.4	84761000	130060000	0	1.7329	2.103	26.99	26.99	19.03	17.69	0.6655	0	0.6655	0.01587	2.385	0.7049	6.693	262370.8	1
hs0101	41	38	20.187	0.26745	1.2	84541000	130260000	0	1.7329	2.112	27.07	27.07	19.1	17.76	0.6672	0	0.6672	0.01587	2.379	0.6942	6.693	240406.5	1
hs0101	42	39	20.191	0.26745	1.4	75466000	112490000	0	1.7329	2.12	27.16	27.16	19.16	17.82	0.6688	0	0.6688	0.01587	2.373	0.6912	6.693	235547.8	1
hs0101	43	40	20.196	0.26745	1.4	75316000	113710000	0	1.7329	2.128	27.24	27.24	19.23	17.88	0.6705	0	0.6705	0.01587	2.368	0.6909	6.693	235036.2	1
hs0101	44	41	20.2	0.26745	1.6	82051000	125210000	0	1.7329	2.137	27.33	27.33	19.3	17.95	0.6721	0	0.6721	0.01587	2.362	0.7136	6.693	283971	1
hs0101	45	42	20.205	0.26745	1.6	80991000	122580000	0	1.7329	2.145	27.41	27.41	19.36	18.01	0.6738	0	0.6738	0.01587	2.356	0.7134	6.693	283534.4	1
hs0101	46	43	20.209	0.26745	1.5	80137000	120870000	0	1.7329	2.153	27.5	27.5	19.43	18.07	0.6754	0	0.6754	0.01587	2.35	0.703	6.693	257405.6	1
hs0101	47	44	20.214	0.26733	1.5	85530000	131510000	0	1.7329	2.162	27.58	27.58	19.5	18.14	0.6771	0	0.6771	0.01587	2.344	0.7104	6.693	276030.1	1
hs0101	48	45	20.218	0.26756	1.5	81158000	125980000	0	1.7329	2.17	27.67	27.67	19.56	18.2	0.6787	0	0.6787	0.01587	2.339	0.7083	6.693	270844.8	1
hs0101	49	46	20.223	0.26733	1.4	75808000	113840000	0	1.7329	2.179	27.75	27.75	19.63	18.26	0.6804	0	0.6804	0.01587	2.333	0.6925	6.693	237619.7	1
hs0101	50	47	20.227	0.26756	1.5	75876000	112400000	0	1.7329	2.187	27.84	27.84	19.7	18.33	0.682	0	0.682	0.01587	2.327	0.6953	6.693	242345.6	1
hs0101	51	48	20.232	0.26733	1.6	82186000	124740000	0	1.7329	2.195	27.92	27.92	19.76	18.39	0.6837	0	0.6837	0.01587	2.322	0.7147	6.693	286705.2	1
hs0101	52	49	20.236	0.26756	1.6	75619000	114410000	0	1.7329	2.204	28.01	28.01	19.83	18.45	0.6853	0	0.6853	0.01587	2.316	0.7069	6.693	267158.2	1
hs0101	53	50	20.241	0.6015	1.4	83429000	124080000	1	1.7329	2.212	28.09	28.09	19.9	18.52	0.687	0	0.687	0.01587	2.311	0.7035	6.693	258741.9	1
hs0101	55	51	20.251	0.26745	1.5	85561000	127410000	0	1.7329	2.231	28.28	28.28	20.05	18.66	0.6907	0	0.6907	0.01589	2.3	0.7075	6.693	268693	1
hs0101	56	52	20.255	0.26733	1.5	82834000	127740000	0	1.7329	2.239	28.32	28.32	20.13	18.74	0.693	0	0.693	0.01601	2.31	0.7074	6.693	268393.1	1
hs0101	57	53	20.259	0.26745	1.4	85070000	128060000	0	1.7329	2.247	28.36	28.36	20.22	18.82	0.6952	0	0.6952	0.01612	2.319	0.705	6.214	262557.8	1
hs0101	58	54	20.264	0.26745	1.4	80352000	119880000	0	1.7329	2.255	28.4	28.4	20.3	18.9	0.6975	0	0.6975	0.01624	2.329	0.7014	6.214	253503.9	1
hs0101	59	55	20.268	0.26733	1.4	84550000	128630000	0	1.7329	2.263	28.44	28.44	20.39	18.98	0.6997	0	0.6997	0.01636	2.338	0.7048	6.214	261967.8	1
hs0101	60	56	20.273	0.26756	1.6	84279000	127880000	0	1.7329	2.271	28.48	28.48	20.47	19.06	0.7019	0	0.7019	0.01648	2.347	0.7169	6.214	292359.1	1
hs0101	61	57	20.277	0.26733	1.5	76852000	114810000	0	1.7329	2.28	28.51	28.51	20.56	19.14	0.7042	0	0.7042	0.01659	2.357	0.7024	6.214	256124.7	1
hs0101	62	58	20.282	0.26756	1.5	85227000	128640000	0	1.7329	2.288	28.55	28.55	20.64	19.23	0.7064	0	0.7064	0.01671	2.366	0.7126	6.214	281454	1
hs0101	63	59	20.286	0.26733	1.7	84058000	126840000	0	1.7329	2.296	28.59	28.59	20.73	19.31	0.7087	0	0.7087	0.01683	2.375	0.7217	6.214	304156.9	1
hs0101	64	60	20.291	0.26756	1.5	75985000	113480000	0	1.7329	2.304	28.63	28.63	20.81	19.39	0.7109	0	0.7109	0.01695	2.384	0.7013	6.214	253147.8	1
hs0101	65	61	20.295	0.60162	1.5	81300000	122590000	1	1.7329	2.312	28.67	28.67	20.9	19.47	0.7132	0	0.7132	0.01707	2.393	0.7075	6.214	268778	1
hs0101	67	62	20.305	0.26733	1.6	83806000	127190000	0	1.7329	2.33	28.76	28.76	21.09	19.65	0.7182	0	0.7182	0.01733	2.413	0.7153	6.214	288278.1	1
hs0101	68	63	20.31	0.26745	1.6	85587000	130480000	0	1.7329	2.338	28.8	28.8	21.17	19.73	0.7204	0	0.7204	0.01745	2.422	0.7183	6.214	295792.9	1
hs0101	69	64	20.314	0.26745	1.5	80831000	120900000	0	1.7329	2.346	28.83	28.83	21.26	19.81	0.7227	0	0.7227	0.01757	2.431	0.7074	6.214	268420	1
hs0101	70	65	20.319	0.26745	1.5	78504000	118260000	0	1.7329	2.355	28.87	28.87	21.34	19.89	0.7249	0	0.7249	0.01769	2.44	0.703	6.214	257612.4	1
hs0101	71	66	20.323	0.26733	1.6	84333000	125520000	0	1.7329	2.363	28.91	28.91	21.43	19.97	0.7272	0	0.7272	0.0178	2.448	0.7143	6.214	285830.7	1
hs0101	72	67	20.327	0.26756	1.7	75249000	113600000	0	1.7329	2.371	28.95	28.95	21.51	20.05	0.7294	0	0.7294	0.01792	2.457	0.709	6.214	272467.9	1
hs0101	73	68	20.332	0.26733	1.5	77781000	116090000	0	1.7329	2.379	28.99	28.99	21.59	20.13	0.7316	0	0.7316	0.01804	2.466	0.7036	6.214	258929	1
hs0101	74	69	20.336	0.26756	1.7	76550000	113420000	0	1.7329	2.387	29.03	29.03	21.68	20.21	0.7339	0	0.7339	0.01816	2.474	0.7124	6.214	280900.5	1
hs0101	75	70	20.341	0.26733	1.7	77049000	115030000	0	1.7329	2.395	29.07	29.07	21.76	20.29	0.7361	0	0.7361	0.01828	2.483	0.7113	5.897	278270.4	1
hs0101	76	71	20.345	0.26756	1.7	85559000	131370000	0	1.7329	2.403	29.11	29.11	21.85	20.37	0.7384	0	0.7384	0.01839	2.491	0.7248	5.897	312083.7	1
hs0101	77	72	20.35	0.26733	1.7	83491000	127980000	0	1.7329	2.411	29.15	29.15	21.93	20.46	0.7406	0	0.7406	0.01851	2.499	0.7226	5.897	306391.8	1
hs0101	78	73	20.354	0.26745	1.6	77600000	114840000	0	1.7329	2.419	29.18	29.18	22.02	20.54	0.7428	0	0.7428	0.01863	2.508	0.7044	5.897	260993.3	1
hs0101	79	74	20.359	0.26745	1.6	86408000	128850000	0	1.7329	2.428	29.22	29.22	22.1	20.62	0.7451	0	0.7451	0.01875	2.516	0.7174	5.897	293463.6	1
hs0101	80	75	20.363	0.26745	1.8	82696000	126480000	0	1.7329	2.436	29.26	29.26	22.19	20.7	0.7473	0	0.7473	0.01886	2.524	0.7259	5.897	314694.8	1
hs0101	81	76	20.368	0.26745	1.5	77918000	114760000	0	1.7329	2.444	29.3	29.3	22.27	20.78	0.7496	0	0.7496	0.01898	2.532	0.7032	5.897	257892.1	1
hs0101	82	77	20.372	0.26745	1.6	78742000	118630000	0	1.7329	2.452	29.34	29.34	22.36	20.86	0.7518	0	0.7518	0.0191	2.541	0.7106	5.897	276458.5	1
hs0101	83	78	20.376	0.26745	1.8	83152000	125880000	0	1.7329	2.46	29.38	29.38	22.44	20.94	0.754	0	0.754	0.01922	2.549	0.7265	5.897	316194.6	1
hs0101	84	79	20.381	0.26745	1.7	83415000	128510000	0	1.7329	2.468	29.42	29.42	22.53	21.02	0.7563	0	0.7563	0.01934	2.557	0.7248	5.897	312033.7	1
hs0101	85	80	20.385	0.26745	1.6	87249000	130760000	0	1.7329	2.476	29.46	29.46	22.61	21.1	0.7585	0	0.7585	0.01945	2.565	0.7214	5.897	303620.7	1
hs0101	86	81	20.39	0.26745	1.6	88852000	135080000	0	1.7329	2.484	29.49	29.49	22.7	21.18	0.7608	0	0.7608	0.01957	2.573	0.7219	5.897	304753.3	1
hs0101	87	82	20.394	0.26733	1.6	80677000	120780000	0	1.7329	2.492	29.53	29.53	22.78	21.26	0.763	0	0.763	0.01969	2.581	0.7085	5.897	271303	1
hs0101	88	83	20.399	0.26745	1.5	82430000	122120000	0	1.7329	2.501	29.57	29.57	22.86	21.34	0.7652	0	0.7652	0.01981	2.588	0.7074	5.897	268418.4	1
hs0101	89	84	20.403	0.26745	1.7	85385000	130430000	0	1.7329	2.509	29.61	29.61	22.95	21.42	0.7675	0	0.7675	0.01993	2.596	0.7245	5.897	311233.3	1
hs0101	90	85	20.408	0.26745	1.7	85774000	129910000	0	1.7329	2.517	29.65	29.65	23.03	21.5	0.7697	0	0.7697	0.02004	2.604	0.7222	5.897	305392	1
hs0101	91	86	20.412	0.26745	1.6	86997000	131930000	0	1.7329	2.525	29.69	29.69	23.12	21.58	0.772	0	0.772	0.02016	2.612	0.7184	5.897	296002.5	1
hs0101	92	87	20.417	0.26745	1.6	86245000	130770000	0	1.7329	2.533	29.73	29.73	23.2	21.66	0.7742	0	0.7742	0.02028	2.619	0.7176	5.897	293901.6	1
hs0101	93	88	20.421	0.26745	1.5	85448000	128410000	0	1.7329	2.541	29.77	29.77	23.29	21.75	0.7764	0	0.7764	0.0204	2.627	0.7132	5.897	283106.8	1
hs0101	94	89	20.425	0.26745	1.6	85537000	127890000	0	1.7329	2.549	29.81	29.81	23.37	21.83	0.7787	0	0.7787	0.02052	2.635	0.7146	5.655	286393.4	1
hs0101	95	90	20.43	0.26733	1.6	85803000	129140000	0	1.7329	2.557	29.84	29.84	23.46	21.91	0.7809	0	0.7809	0.02063	2.642	0.7162	5.655	290413.5	1
hs0101	96	91	20.434	0.26756	1.6	85545000	128360000	0	1.7329	2.565	29.88	29.88	23.54	21.99	0.7832	0	0.7832	0.02075	2.65	0.7162	5.655	290540.6	1
hs0101	97	92	20.439	0.26733	1.7	85486000	126730000	0	1.7329	2.573	29.92	29.92	23.63	22.07	0.7854	0	0.7854	0.02087	2.657	0.7193	5.655	298330	1
hs0101	98	93	20.443	0.26745	1.7	77561000	114750000	0	1.7329	2.582	29.96	29.96	23.71	22.15	0.7876	0	0.7876	0.02099	2.665	0.7099	5.655	274695.7	1
hs0101	99	94	20.448	0.26745	1.7	79786000	118080000	0	1.7329	2.59	30	30	23.8	22.23	0.7899	0	0.7899	0.02111	2.672	0.7126	5.655	281552	1
hs0101	100	95	20.452	0.26745	1.8	79411000	116940000	0	1.7329	2.598	30.04	30.04	23.88	22.31	0.7921	0	0.7921	0.02122	2.679	0.7217	5.655	304310.2	1
hs0101	101	96	20.457	0.26745	1.8	87893000	133590000	0	1.7329	2.606	30.08	30.08	23.97	22.39	0.7944	0	0.7944	0.02134	2.687	0.7335	5.655	333743.1	1
hs0101	102	97	20.461	0.26745	1.8	85235000	128700000	0	1.7329	2.614	30.12	30.12	24.05	22.47	0.7966	0	0.7966	0.02146	2.694	0.7312	5.655	328118.5	1
hs0101	103	98	20.466	0.26745	1.6	84205000	123490000	0	1.7329	2.622	30.16	30.16	24.13	22.55	0.7988	0	0.7988	0.02158	2.701	0.7152	5.655	287896.8	1
