Raw file	m/z	Peaks / Da	Single peaks / Da	Isotope patterns / Da	Single isotope patterns / Da	SILAC pairs / Da	Identified SILAC pairs / Da	SILAC identification rate [%]
hs0110	100	0	0	0	0	0	0	NaN
hs0110	101	0	0	0	0	0	0	NaN
hs0110	102	0	0	0	0	0	0	NaN
hs0110	103	0	0	0	0	0	0	NaN
hs0110	104	0	0	0	0	0	0	NaN
hs0110	105	0	0	0	0	0	0	NaN
hs0110	106	0	0	0	0	0	0	NaN
hs0110	107	0	0	0	0	0	0	NaN
hs0110	108	0	0	0	0	0	0	NaN
hs0110	109	0	0	0	0	0	0	NaN
hs0110	110	0	0	0	0	0	0	NaN
hs0110	111	0	0	0	0	0	0	NaN
hs0110	112	0	0	0	0	0	0	NaN
hs0110	113	0	0	0	0	0	0	NaN
hs0110	114	0	0	0	0	0	0	NaN
hs0110	115	0	0	0	0	0	0	NaN
hs0110	116	0	0	0	0	0	0	NaN
hs0110	117	0	0	0	0	0	0	NaN
hs0110	118	0	0	0	0	0	0	NaN
hs0110	119	0	0	0	0	0	0	NaN
hs0110	120	0	0	0	0	0	0	NaN
hs0110	121	0	0	0	0	0	0	NaN
hs0110	122	0	0	0	0	0	0	NaN
hs0110	123	0	0	0	0	0	0	NaN
hs0110	124	0	0	0	0	0	0	NaN
hs0110	125	0	0	0	0	0	0	NaN
hs0110	126	0	0	0	0	0	0	NaN
hs0110	127	0	0	0	0	0	0	NaN
hs0110	128	0	0	0	0	0	0	NaN
hs0110	129	0	0	0	0	0	0	NaN
hs0110	130	0	0	0	0	0	0	NaN
hs0110	131	0	0	0	0	0	0	NaN
hs0110	132	0	0	0	0	0	0	NaN
hs0110	133	0	0	0	0	0	0	NaN
hs0110	134	0	0	0	0	0	0	NaN
hs0110	135	0	0	0	0	0	0	NaN
hs0110	136	0	0	0	0	0	0	NaN
hs0110	137	0	0	0	0	0	0	NaN
hs0110	138	0	0	0	0	0	0	NaN
hs0110	139	0	0	0	0	0	0	NaN
hs0110	140	0	0	0	0	0	0	NaN
hs0110	141	0	0	0	0	0	0	NaN
hs0110	142	0	0	0	0	0	0	NaN
hs0110	143	0	0	0	0	0	0	NaN
hs0110	144	0	0	0	0	0	0	NaN
hs0110	145	0	0	0	0	0	0	NaN
hs0110	146	0	0	0	0	0	0	NaN
hs0110	147	0	0	0	0	0	0	NaN
hs0110	148	0	0	0	0	0	0	NaN
hs0110	149	0	0	0	0	0	0	NaN
hs0110	150	0	0	0	0	0	0	NaN
hs0110	151	0	0	0	0	0	0	NaN
hs0110	152	0	0	0	0	0	0	NaN
hs0110	153	0	0	0	0	0	0	NaN
hs0110	154	0	0	0	0	0	0	NaN
hs0110	155	0	0	0	0	0	0	NaN
hs0110	156	0	0	0	0	0	0	NaN
hs0110	157	0	0	0	0	0	0	NaN
hs0110	158	0	0	0	0	0	0	NaN
hs0110	159	0	0	0	0	0	0	NaN
hs0110	160	0	0	0	0	0	0	NaN
