Raw file	m/z	Peaks / Da	Single peaks / Da	Isotope patterns / Da	Single isotope patterns / Da	SILAC pairs / Da	Identified SILAC pairs / Da	SILAC identification rate [%]
hs0097	100	0	0	0	0	0	0	NaN
hs0097	101	0	0	0	0	0	0	NaN
hs0097	102	0	0	0	0	0	0	NaN
hs0097	103	0	0	0	0	0	0	NaN
hs0097	104	0	0	0	0	0	0	NaN
hs0097	105	0	0	0	0	0	0	NaN
hs0097	106	0	0	0	0	0	0	NaN
hs0097	107	0	0	0	0	0	0	NaN
hs0097	108	0	0	0	0	0	0	NaN
hs0097	109	0	0	0	0	0	0	NaN
hs0097	110	0	0	0	0	0	0	NaN
hs0097	111	0	0	0	0	0	0	NaN
hs0097	112	0	0	0	0	0	0	NaN
hs0097	113	0	0	0	0	0	0	NaN
hs0097	114	0	0	0	0	0	0	NaN
hs0097	115	0	0	0	0	0	0	NaN
hs0097	116	0	0	0	0	0	0	NaN
hs0097	117	0	0	0	0	0	0	NaN
hs0097	118	0	0	0	0	0	0	NaN
hs0097	119	0	0	0	0	0	0	NaN
hs0097	120	0	0	0	0	0	0	NaN
hs0097	121	0	0	0	0	0	0	NaN
hs0097	122	0	0	0	0	0	0	NaN
hs0097	123	0	0	0	0	0	0	NaN
hs0097	124	0	0	0	0	0	0	NaN
hs0097	125	0	0	0	0	0	0	NaN
hs0097	126	0	0	0	0	0	0	NaN
hs0097	127	0	0	0	0	0	0	NaN
hs0097	128	0	0	0	0	0	0	NaN
hs0097	129	0	0	0	0	0	0	NaN
hs0097	130	0	0	0	0	0	0	NaN
hs0097	131	0	0	0	0	0	0	NaN
hs0097	132	0	0	0	0	0	0	NaN
hs0097	133	0	0	0	0	0	0	NaN
hs0097	134	0	0	0	0	0	0	NaN
hs0097	135	0	0	0	0	0	0	NaN
hs0097	136	0	0	0	0	0	0	NaN
hs0097	137	0	0	0	0	0	0	NaN
hs0097	138	0	0	0	0	0	0	NaN
hs0097	139	0	0	0	0	0	0	NaN
hs0097	140	0	0	0	0	0	0	NaN
hs0097	141	0	0	0	0	0	0	NaN
hs0097	142	0	0	0	0	0	0	NaN
hs0097	143	0	0	0	0	0	0	NaN
hs0097	144	0	0	0	0	0	0	NaN
hs0097	145	0	0	0	0	0	0	NaN
hs0097	146	0	0	0	0	0	0	NaN
hs0097	147	0	0	0	0	0	0	NaN
hs0097	148	0	0	0	0	0	0	NaN
hs0097	149	0	0	0	0	0	0	NaN
hs0097	150	0	0	0	0	0	0	NaN
hs0097	151	0	0	0	0	0	0	NaN
hs0097	152	0	0	0	0	0	0	NaN
hs0097	153	0	0	0	0	0	0	NaN
hs0097	154	0	0	0	0	0	0	NaN
hs0097	155	0	0	0	0	0	0	NaN
hs0097	156	0	0	0	0	0	0	NaN
hs0097	157	0	0	0	0	0	0	NaN
hs0097	158	0	0	0	0	0	0	NaN
hs0097	159	0	0	0	0	0	0	NaN
hs0097	160	0	0	0	0	0	0	NaN
hs0097	161	0	0	0	0	0	0	NaN
hs0097	162	0	0	0	0	0	0	NaN
hs0097	163	0	0	0	0	0	0	NaN
hs0097	164	0	0	0	0	0	0	NaN
hs0097	165	0	0	0	0	0	0	NaN
hs0097	166	0	0	0	0	0	0	NaN
hs0097	167	0	0	0	0	0	0	NaN
hs0097	168	0	0	0	0	0	0	NaN
hs0097	169	0	0	0	0	0	0	NaN
hs0097	170	0	0	0	0	0	0	NaN
hs0097	171	0	0	0	0	0	0	NaN
hs0097	172	0	0	0	0	0	0	NaN
hs0097	173	0	0	0	0	0	0	NaN
hs0097	174	0	0	0	0	0	0	NaN
hs0097	175	0	0	0	0	0	0	NaN
hs0097	176	0	0	0	0	0	0	NaN
hs0097	177	0	0	0	0	0	0	NaN
hs0097	178	0	0	0	0	0	0	NaN
hs0097	179	0	0	0	0	0	0	NaN
hs0097	180	0	0	0	0	0	0	NaN
hs0097	181	0	0	0	0	0	0	NaN
hs0097	182	0	0	0	0	0	0	NaN
hs0097	183	0	0	0	0	0	0	NaN
hs0097	184	0	0	0	0	0	0	NaN
hs0097	185	0	0	0	0	0	0	NaN
hs0097	186	0	0	0	0	0	0	NaN
hs0097	187	0	0	0	0	0	0	NaN
hs0097	188	0	0	0	0	0	0	NaN
hs0097	189	0	0	0	0	0	0	NaN
hs0097	190	0	0	0	0	0	0	NaN
hs0097	191	0	0	0	0	0	0	NaN
hs0097	192	0	0	0	0	0	0	NaN
hs0097	193	0	0	0	0	0	0	NaN
hs0097	194	0	0	0	0	0	0	NaN
hs0097	195	0	0	0	0	0	0	NaN
hs0097	196	0	0	0	0	0	0	NaN
hs0097	197	0	0	0	0	0	0	NaN
hs0097	198	0	0	0	0	0	0	NaN
hs0097	199	0	0	0	0	0	0	NaN
hs0097	200	0	0	0	0	0	0	NaN
hs0097	201	0	0	0	0	0	0	NaN
hs0097	202	0	0	0	0	0	0	NaN
hs0097	203	0	0	0	0	0	0	NaN
hs0097	204	0	0	0	0	0	0	NaN
hs0097	205	0	0	0	0	0	0	NaN
hs0097	206	0	0	0	0	0	0	NaN
hs0097	207	0	0	0	0	0	0	NaN
hs0097	208	0	0	0	0	0	0	NaN
hs0097	209	0	0	0	0	0	0	NaN
hs0097	210	0	0	0	0	0	0	NaN
hs0097	211	0	0	0	0	0	0	NaN
hs0097	212	0	0	0	0	0	0	NaN
hs0097	213	0	0	0	0	0	0	NaN
hs0097	214	0	0	0	0	0	0	NaN
hs0097	215	0	0	0	0	0	0	NaN
hs0097	216	0	0	0	0	0	0	NaN
hs0097	217	0	0	0	0	0	0	NaN
hs0097	218	0	0	0	0	0	0	NaN
hs0097	219	0	0	0	0	0	0	NaN
hs0097	220	0	0	0	0	0	0	NaN
hs0097	221	0	0	0	0	0	0	NaN
hs0097	222	0	0	0	0	0	0	NaN
hs0097	223	0	0	0	0	0	0	NaN
