Raw file	Scan number	Scan index	Retention time	Cycle time	Ion injection time	Base peak intensity	Total ion current	MS/MS count	Mass calibration	Peak length	Isotope pattern length	Multiplet length	Peaks / s	Single peaks / s	Isotope patterns / s	Single isotope patterns / s	Multiplets / s	Identified multiplets / s	Multiplet identification rate [%]	Intens Comp Factor	CTCD Comp	RawOvFtT	AGC Fill
hs0112	1	0	20.004	0.38635	100	555.79	6225.7	0	-0.8388	1.866	24.46	24.46	18.29	17.13	0.5649	0	0.5649	0.009376	1.66	0.5507	9.264	5222.8	0.150000005960464
hs0112	2	1	20.011	0.26745	100	18082000	38567000	0	-0.8388	1.877	24.48	24.48	18.38	17.22	0.5669	0	0.5669	0.009546	1.684	1.4909	9.264	2666562.5	0.150000005960464
hs0112	3	2	20.015	0.26745	100	18183000	38885000	0	-0.8388	1.884	24.49	24.49	18.44	17.28	0.5683	0	0.5683	0.009664	1.7	1.4944	9.264	2682733.5	0.00999999977648258
hs0112	4	3	20.02	0.26745	4.3	58858000	98635000	0	-0.8388	1.892	24.51	24.51	18.5	17.33	0.5698	0	0.5698	0.009782	1.717	0.8107	9.264	526801.6	1
hs0112	5	4	20.024	0.26745	4.1	59689000	99087000	0	-0.8388	1.899	24.52	24.52	18.56	17.39	0.5712	0	0.5712	0.0099	1.733	0.8056	9.264	513934.7	1
hs0112	6	5	20.029	0.26733	1.6	70127000	111850000	0	-0.8388	1.907	24.53	24.53	18.62	17.45	0.5726	0	0.5726	0.01002	1.75	0.7057	9.264	264168.2	1
hs0112	7	6	20.033	0.26756	1.6	70280000	112250000	0	-0.8388	1.914	24.54	24.54	18.68	17.51	0.574	0	0.574	0.01014	1.766	0.7018	9.264	254386.7	1
hs0112	8	7	20.038	0.26733	1.4	71538000	109760000	0	-0.8388	1.921	24.56	24.56	18.75	17.56	0.5754	0	0.5754	0.01025	1.782	0.6862	9.264	227359.1	1
hs0112	9	8	20.042	0.26745	1.4	78664000	134820000	0	-0.8388	1.929	24.57	24.57	18.81	17.62	0.5768	0	0.5768	0.01037	1.798	0.7061	9.264	265182.4	1
hs0112	10	9	20.047	0.26745	1.4	71505000	110310000	0	-0.8388	1.936	24.58	24.58	18.87	17.68	0.5783	0	0.5783	0.01049	1.814	0.684	9.264	223789.4	1
hs0112	11	10	20.051	0.26745	1.2	73641000	116840000	0	-0.8388	1.944	24.6	24.6	18.93	17.74	0.5797	0	0.5797	0.01061	1.83	0.6726	9.264	205107.3	1
hs0112	12	11	20.055	0.26745	1.3	72006000	112560000	0	-0.8388	1.951	24.61	24.61	18.99	17.8	0.5811	0	0.5811	0.01073	1.846	0.6828	9.264	221813.2	1
hs0112	13	12	20.06	0.26745	1.3	77139000	120270000	0	-0.8388	1.958	24.62	24.62	19.05	17.85	0.5825	0	0.5825	0.01084	1.861	0.6848	9.264	225013.5	1
hs0112	14	13	20.064	0.26745	1.3	71166000	111300000	0	-0.8388	1.966	24.64	24.64	19.11	17.91	0.5839	0	0.5839	0.01096	1.877	0.6781	9.264	214139.6	1
hs0112	15	14	20.069	0.26733	1.2	74669000	115680000	0	-0.8388	1.973	24.65	24.65	19.17	17.97	0.5853	0	0.5853	0.01108	1.893	0.6734	9.264	206426.3	1
hs0112	16	15	20.073	0.26745	1.3	71857000	110710000	0	-0.8388	1.981	24.66	24.66	19.23	18.03	0.5867	0	0.5867	0.0112	1.908	0.6771	9.264	212367.7	1
hs0112	17	16	20.078	0.6015	1.2	79075000	125350000	1	-0.8388	1.988	24.67	24.67	19.29	18.08	0.5882	0	0.5882	0.01131	1.924	0.6866	9.264	228007.6	1
hs0112	19	17	20.088	0.26756	1.1	77437000	132550000	0	-0.8388	2.005	24.7	24.7	19.43	18.21	0.5913	0	0.5913	0.01158	1.958	0.6852	9.264	225779.9	1
hs0112	20	18	20.092	0.26733	1.1	84218000	146360000	0	-0.8388	2.012	24.72	24.72	19.49	18.27	0.5928	0	0.5928	0.0117	1.973	0.6957	9.262	243015.8	1
hs0112	21	19	20.097	0.26756	1.1	81023000	138890000	0	-0.8388	2.02	24.73	24.73	19.55	18.33	0.5942	0	0.5942	0.01182	1.989	0.6866	9.262	227983.3	1
hs0112	22	20	20.101	0.26733	0.99	75129000	114070000	0	-0.8388	2.027	24.74	24.74	19.61	18.39	0.5956	0	0.5956	0.01193	2.004	0.6561	9.262	178001.5	1
hs0112	23	21	20.106	0.26756	1	86357000	147760000	0	-0.8388	2.035	24.75	24.75	19.68	18.45	0.597	0	0.597	0.01205	2.019	0.6877	9.262	229833.3	1
hs0112	24	22	20.11	0.26733	1.2	74718000	113860000	0	-0.8388	2.042	24.77	24.77	19.74	18.5	0.5984	0	0.5984	0.01217	2.034	0.6717	9.262	203660.7	1
hs0112	25	23	20.114	0.60162	0.97	74944000	111690000	1	-0.8388	2.049	24.78	24.78	19.8	18.56	0.5998	0	0.5998	0.01229	2.049	0.651	9.262	169594.6	1
hs0112	27	24	20.124	0.26733	1.2	76283000	115200000	0	-0.8388	2.066	24.81	24.81	19.93	18.69	0.603	0	0.603	0.01255	2.082	0.6723	9.262	204492.6	1
hs0112	28	25	20.129	0.26756	1.2	73897000	112420000	0	-0.8388	2.074	24.82	24.82	20	18.75	0.6044	0	0.6044	0.01267	2.096	0.6703	9.262	201307.1	1
hs0112	29	26	20.133	0.26733	1.2	74889000	113570000	0	-0.8388	2.081	24.84	24.84	20.06	18.81	0.6058	0	0.6058	0.01279	2.111	0.67	9.262	200794.7	1
hs0112	30	27	20.138	0.60162	1.2	71954000	108860000	1	-0.8388	2.088	24.85	24.85	20.12	18.86	0.6073	0	0.6073	0.01291	2.125	0.6664	9.262	194838.5	1
hs0112	32	28	20.148	0.26733	1.2	72599000	110760000	0	-0.8388	2.105	24.88	24.88	20.25	18.99	0.6104	0	0.6104	0.01317	2.158	0.6732	9.262	205972.8	1
hs0112	33	29	20.152	0.26756	1.2	73294000	115410000	0	-0.8388	2.113	24.89	24.89	20.32	19.05	0.6119	0	0.6119	0.01329	2.172	0.6767	9.262	211829.5	1
hs0112	34	30	20.157	0.26733	1.2	73335000	109440000	0	-0.8388	2.12	24.9	24.9	20.38	19.11	0.6133	0	0.6133	0.01341	2.186	0.6692	9.262	199494.9	1
hs0112	35	31	20.161	0.26756	1.2	75082000	117680000	0	-0.8388	2.127	24.92	24.92	20.44	19.17	0.6147	0	0.6147	0.01353	2.2	0.6756	9.262	210034.2	1
hs0112	36	32	20.166	0.26733	1.2	75399000	113390000	0	-0.8388	2.135	24.93	24.93	20.5	19.23	0.6161	0	0.6161	0.01364	2.214	0.6744	9.262	207980.4	1
hs0112	37	33	20.17	0.56568	1.1	75586000	113740000	1	-0.8388	2.142	24.94	24.94	20.56	19.28	0.6175	0	0.6175	0.01376	2.229	0.6685	9.262	198273	1
hs0112	39	34	20.18	0.26733	1.2	74830000	111790000	0	-0.8388	2.158	24.97	24.97	20.69	19.4	0.6205	0	0.6205	0.01401	2.258	0.6681	8.237	197609.5	1
hs0112	40	35	20.184	0.26745	1.2	76192000	113390000	0	-0.8388	2.165	24.98	24.98	20.75	19.46	0.6219	0	0.6219	0.01413	2.272	0.6705	8.237	201559.4	1
hs0112	41	36	20.189	0.26745	1.2	75683000	113210000	0	-0.8388	2.173	24.99	24.99	20.81	19.52	0.6233	0	0.6233	0.01425	2.286	0.6717	8.237	203662.4	1
hs0112	42	37	20.193	0.26745	1.3	77769000	121460000	0	-0.8388	2.18	25.01	25.01	20.87	19.58	0.6248	0	0.6248	0.01436	2.299	0.6878	8.237	230045.9	1
hs0112	43	38	20.197	0.26745	1.3	73316000	109540000	0	-0.8388	2.188	25.02	25.02	20.93	19.64	0.6262	0	0.6262	0.01448	2.313	0.6766	8.237	211592.2	1
hs0112	44	39	20.202	0.26745	1.2	77105000	120980000	0	-0.8388	2.195	25.03	25.03	20.99	19.69	0.6276	0	0.6276	0.0146	2.326	0.6853	8.237	225929.6	1
hs0112	45	40	20.206	0.26745	1.3	72609000	110460000	0	-0.8388	2.202	25.05	25.05	21.05	19.75	0.629	0	0.629	0.01472	2.34	0.6822	8.237	220821.3	1
hs0112	46	41	20.211	0.26745	1.3	78879000	122370000	0	-0.8388	2.21	25.06	25.06	21.11	19.81	0.6304	0	0.6304	0.01484	2.353	0.6893	8.237	232455.9	1
hs0112	47	42	20.215	0.5349	1.4	74078000	115250000	1	-0.8388	2.217	25.07	25.07	21.18	19.87	0.6318	0	0.6318	0.01495	2.367	0.6887	8.237	231540.7	1
hs0112	49	43	20.224	0.26733	1.3	72965000	114750000	0	-0.8388	2.232	25.1	25.1	21.3	19.98	0.6347	0	0.6347	0.01519	2.393	0.6847	8.237	224871.6	1
hs0112	50	44	20.229	0.26745	1.3	75405000	113520000	0	-0.8388	2.24	25.11	25.11	21.36	20.04	0.6361	0	0.6361	0.01531	2.407	0.6829	8.237	222010.6	1
hs0112	51	45	20.233	0.26745	1.3	75714000	117480000	0	-0.8388	2.247	25.12	25.12	21.42	20.1	0.6375	0	0.6375	0.01543	2.42	0.6873	8.237	229112.6	1
hs0112	52	46	20.238	0.26745	1.3	78042000	119340000	0	-0.8388	2.254	25.14	25.14	21.48	20.16	0.6389	0	0.6389	0.01554	2.433	0.6879	8.237	230235.4	1
hs0112	53	47	20.242	0.26745	1.3	75906000	114500000	0	-0.8388	2.262	25.15	25.15	21.54	20.21	0.6403	0	0.6403	0.01566	2.446	0.6813	8.237	219385.7	1
hs0112	54	48	20.246	0.26745	1.2	79500000	123930000	0	-0.8388	2.269	25.16	25.16	21.6	20.27	0.6417	0	0.6417	0.01578	2.459	0.6868	8.237	228288.5	1
hs0112	55	49	20.251	0.26745	1.3	77337000	122250000	0	-0.8388	2.277	25.18	25.18	21.67	20.33	0.6433	0	0.6433	0.0159	2.471	0.6902	8.237	233981.1	1
