Raw file	m/z	Peaks / Da	Single peaks / Da	Isotope patterns / Da	Single isotope patterns / Da	SILAC pairs / Da	Identified SILAC pairs / Da	SILAC identification rate [%]
hs0100	100	0	0	0	0	0	0	NaN
hs0100	101	0	0	0	0	0	0	NaN
hs0100	102	0	0	0	0	0	0	NaN
hs0100	103	0	0	0	0	0	0	NaN
hs0100	104	0	0	0	0	0	0	NaN
hs0100	105	0	0	0	0	0	0	NaN
hs0100	106	0	0	0	0	0	0	NaN
hs0100	107	0	0	0	0	0	0	NaN
hs0100	108	0	0	0	0	0	0	NaN
hs0100	109	0	0	0	0	0	0	NaN
hs0100	110	0	0	0	0	0	0	NaN
hs0100	111	0	0	0	0	0	0	NaN
hs0100	112	0	0	0	0	0	0	NaN
hs0100	113	0	0	0	0	0	0	NaN
hs0100	114	0	0	0	0	0	0	NaN
hs0100	115	0	0	0	0	0	0	NaN
hs0100	116	0	0	0	0	0	0	NaN
hs0100	117	0	0	0	0	0	0	NaN
hs0100	118	0	0	0	0	0	0	NaN
hs0100	119	0	0	0	0	0	0	NaN
hs0100	120	0	0	0	0	0	0	NaN
hs0100	121	0	0	0	0	0	0	NaN
hs0100	122	0	0	0	0	0	0	NaN
hs0100	123	0	0	0	0	0	0	NaN
hs0100	124	0	0	0	0	0	0	NaN
hs0100	125	0	0	0	0	0	0	NaN
hs0100	126	0	0	0	0	0	0	NaN
hs0100	127	0	0	0	0	0	0	NaN
hs0100	128	0	0	0	0	0	0	NaN
hs0100	129	0	0	0	0	0	0	NaN
hs0100	130	0	0	0	0	0	0	NaN
hs0100	131	0	0	0	0	0	0	NaN
hs0100	132	0	0	0	0	0	0	NaN
hs0100	133	0	0	0	0	0	0	NaN
hs0100	134	0	0	0	0	0	0	NaN
hs0100	135	0	0	0	0	0	0	NaN
hs0100	136	0	0	0	0	0	0	NaN
hs0100	137	0	0	0	0	0	0	NaN
hs0100	138	0	0	0	0	0	0	NaN
hs0100	139	0	0	0	0	0	0	NaN
hs0100	140	0	0	0	0	0	0	NaN
hs0100	141	0	0	0	0	0	0	NaN
hs0100	142	0	0	0	0	0	0	NaN
hs0100	143	0	0	0	0	0	0	NaN
hs0100	144	0	0	0	0	0	0	NaN
hs0100	145	0	0	0	0	0	0	NaN
hs0100	146	0	0	0	0	0	0	NaN
hs0100	147	0	0	0	0	0	0	NaN
hs0100	148	0	0	0	0	0	0	NaN
hs0100	149	0	0	0	0	0	0	NaN
hs0100	150	0	0	0	0	0	0	NaN
hs0100	151	0	0	0	0	0	0	NaN
hs0100	152	0	0	0	0	0	0	NaN
hs0100	153	0	0	0	0	0	0	NaN
hs0100	154	0	0	0	0	0	0	NaN
hs0100	155	0	0	0	0	0	0	NaN
hs0100	156	0	0	0	0	0	0	NaN
hs0100	157	0	0	0	0	0	0	NaN
hs0100	158	0	0	0	0	0	0	NaN
hs0100	159	0	0	0	0	0	0	NaN
hs0100	160	0	0	0	0	0	0	NaN
hs0100	161	0	0	0	0	0	0	NaN
hs0100	162	0	0	0	0	0	0	NaN
hs0100	163	0	0	0	0	0	0	NaN
hs0100	164	0	0	0	0	0	0	NaN
hs0100	165	0	0	0	0	0	0	NaN
hs0100	166	0	0	0	0	0	0	NaN
hs0100	167	0	0	0	0	0	0	NaN
hs0100	168	0	0	0	0	0	0	NaN
hs0100	169	0	0	0	0	0	0	NaN
hs0100	170	0	0	0	0	0	0	NaN
hs0100	171	0	0	0	0	0	0	NaN
hs0100	172	0	0	0	0	0	0	NaN
hs0100	173	0	0	0	0	0	0	NaN
hs0100	174	0	0	0	0	0	0	NaN
hs0100	175	0	0	0	0	0	0	NaN
hs0100	176	0	0	0	0	0	0	NaN
hs0100	177	0	0	0	0	0	0	NaN
hs0100	178	0	0	0	0	0	0	NaN
hs0100	179	0	0	0	0	0	0	NaN
hs0100	180	0	0	0	0	0	0	NaN
hs0100	181	0	0	0	0	0	0	NaN
hs0100	182	0	0	0	0	0	0	NaN
hs0100	183	0	0	0	0	0	0	NaN
hs0100	184	0	0	0	0	0	0	NaN
hs0100	185	0	0	0	0	0	0	NaN
hs0100	186	0	0	0	0	0	0	NaN
hs0100	187	0	0	0	0	0	0	NaN
hs0100	188	0	0	0	0	0	0	NaN
hs0100	189	0	0	0	0	0	0	NaN
hs0100	190	0	0	0	0	0	0	NaN
hs0100	191	0	0	0	0	0	0	NaN
hs0100	192	0	0	0	0	0	0	NaN
hs0100	193	0	0	0	0	0	0	NaN
hs0100	194	0	0	0	0	0	0	NaN
hs0100	195	0	0	0	0	0	0	NaN
hs0100	196	0	0	0	0	0	0	NaN
hs0100	197	0	0	0	0	0	0	NaN
hs0100	198	0	0	0	0	0	0	NaN
hs0100	199	0	0	0	0	0	0	NaN
hs0100	200	0	0	0	0	0	0	NaN
hs0100	201	0	0	0	0	0	0	NaN
hs0100	202	0	0	0	0	0	0	NaN
hs0100	203	0	0	0	0	0	0	NaN
hs0100	204	0	0	0	0	0	0	NaN
hs0100	205	0	0	0	0	0	0	NaN
hs0100	206	0	0	0	0	0	0	NaN
hs0100	207	0	0	0	0	0	0	NaN
hs0100	208	0	0	0	0	0	0	NaN
hs0100	209	0	0	0	0	0	0	NaN
hs0100	210	0	0	0	0	0	0	NaN
hs0100	211	0	0	0	0	0	0	NaN
hs0100	212	0	0	0	0	0	0	NaN
hs0100	213	0	0	0	0	0	0	NaN
hs0100	214	0	0	0	0	0	0	NaN
hs0100	215	0	0	0	0	0	0	NaN
hs0100	216	0	0	0	0	0	0	NaN
hs0100	217	0	0	0	0	0	0	NaN
hs0100	218	0	0	0	0	0	0	NaN
hs0100	219	0	0	0	0	0	0	NaN
hs0100	220	0	0	0	0	0	0	NaN
hs0100	221	0	0	0	0	0	0	NaN
hs0100	222	0	0	0	0	0	0	NaN
hs0100	223	0	0	0	0	0	0	NaN
hs0100	224	0	0	0	0	0	0	NaN
hs0100	225	0	0	0	0	0	0	NaN
hs0100	226	0	0	0	0	0	0	NaN
hs0100	227	0	0	0	0	0	0	NaN
hs0100	228	0	0	0	0	0	0	NaN
hs0100	229	0	0	0	0	0	0	NaN
hs0100	230	0	0	0	0	0	0	NaN
hs0100	231	0	0	0	0	0	0	NaN
hs0100	232	0	0	0	0	0	0	NaN
hs0100	233	0	0	0	0	0	0	NaN
hs0100	234	0	0	0	0	0	0	NaN
hs0100	235	0	0	0	0	0	0	NaN
hs0100	236	0	0	0	0	0	0	NaN
hs0100	237	0	0	0	0	0	0	NaN
hs0100	238	0	0	0	0	0	0	NaN
hs0100	239	0	0	0	0	0	0	NaN
hs0100	240	0	0	0	0	0	0	NaN
hs0100	241	0	0	0	0	0	0	NaN
hs0100	242	0	0	0	0	0	0	NaN
hs0100	243	0	0	0	0	0	0	NaN
hs0100	244	0	0	0	0	0	0	NaN
hs0100	245	0	0	0	0	0	0	NaN
hs0100	246	0	0	0	0	0	0	NaN
hs0100	247	0	0	0	0	0	0	NaN
hs0100	248	0	0	0	0	0	0	NaN
hs0100	249	0	0	0	0	0	0	NaN
hs0100	250	0	0	0	0	0	0	NaN
hs0100	251	0	0	0	0	0	0	NaN
hs0100	252	0	0	0	0	0	0	NaN
hs0100	253	0	0	0	0	0	0	NaN
hs0100	254	0	0	0	0	0	0	NaN
hs0100	255	0	0	0	0	0	0	NaN
hs0100	256	0	0	0	0	0	0	NaN
hs0100	257	0	0	0	0	0	0	NaN
hs0100	258	0	0	0	0	0	0	NaN
hs0100	259	0	0	0	0	0	0	NaN
hs0100	260	0	0	0	0	0	0	NaN
hs0100	261	0	0	0	0	0	0	NaN
hs0100	262	0	0	0	0	0	0	NaN
hs0100	263	0	0	0	0	0	0	NaN
hs0100	264	0	0	0	0	0	0	NaN
hs0100	265	0	0	0	0	0	0	NaN
hs0100	266	0	0	0	0	0	0	NaN
hs0100	267	0	0	0	0	0	0	NaN
hs0100	268	0	0	0	0	0	0	NaN
hs0100	269	0	0	0	0	0	0	NaN
hs0100	270	0	0	0	0	0	0	NaN
hs0100	271	0	0	0	0	0	0	NaN
hs0100	272	0	0	0	0	0	0	NaN
hs0100	273	0	0	0	0	0	0	NaN
hs0100	274	0	0	0	0	0	0	NaN
hs0100	275	0	0	0	0	0	0	NaN
hs0100	276	0	0	0	0	0	0	NaN
hs0100	277	0	0	0	0	0	0	NaN
hs0100	278	0	0	0	0	0	0	NaN
hs0100	279	0	0	0	0	0	0	NaN
hs0100	280	0	0	0	0	0	0	NaN
hs0100	281	0	0	0	0	0	0	NaN
hs0100	282	0	0	0	0	0	0	NaN
hs0100	283	0	0	0	0	0	0	NaN
hs0100	284	0	0	0	0	0	0	NaN
hs0100	285	0	0	0	0	0	0	NaN
hs0100	286	0	0	0	0	0	0	NaN
hs0100	287	0	0	0	0	0	0	NaN
hs0100	288	0	0	0	0	0	0	NaN
hs0100	289	0	0	0	0	0	0	NaN
hs0100	290	0	0	0	0	0	0	NaN
hs0100	291	0	0	0	0	0	0	NaN
hs0100	292	0	0	0	0	0	0	NaN
hs0100	293	0	0	0	0	0	0	NaN
hs0100	294	0	0	0	0	0	0	NaN
hs0100	295	0	0	0	0	0	0	NaN
hs0100	296	0	0	0	0	0	0	NaN
hs0100	297	0	0	0	0	0	0	NaN
