Raw file	Scan number	Scan index	Retention time	Cycle time	Ion injection time	Base peak intensity	Total ion current	MS/MS count	Mass calibration	Peak length	Isotope pattern length	Multiplet length	Peaks / s	Single peaks / s	Isotope patterns / s	Single isotope patterns / s	Multiplets / s	Identified multiplets / s	Multiplet identification rate [%]	Intens Comp Factor	CTCD Comp	RawOvFtT	AGC Fill
hs0045	1	0	20.006	0.26756	0.25	108420000	225300000	0	-1.8851	1.642	0.1886	0.1886	3.833	3.815	0.009422	0	0.009422	0	0	0.611	37.727	104021	1
hs0045	2	1	20.011	0.26733	0.24	104290000	207160000	0	-1.8851	1.649	0.1914	0.1914	3.852	3.833	0.00954	0	0.00954	0	0	0.6069	37.727	97350.9	1
hs0045	3	2	20.015	0.26756	0.24	150860000	332570000	0	-1.8851	1.656	0.1943	0.1943	3.87	3.851	0.009658	0	0.009658	0	0	0.6393	37.727	150407.2	1
hs0045	4	3	20.02	0.26733	0.03	75838000	186680000	0	-1.8851	1.662	0.1971	0.1971	3.888	3.869	0.009776	0	0.009776	0	0	0.5566	37.727	14837.8	1
hs0045	5	4	20.024	0.26756	0.03	106970000	218800000	0	-1.8851	1.669	0.1999	0.1999	3.907	3.887	0.009894	0	0.009894	0	0	0.5579	37.727	16966.7	1
hs0045	6	5	20.028	0.26733	0.03	99552000	212580000	0	-1.8851	1.675	0.2028	0.2028	3.925	3.905	0.01001	0	0.01001	0	0	0.5571	37.727	15712.4	1
hs0045	7	6	20.033	0.26745	0.03	89740000	208070000	0	-1.8851	1.682	0.2056	0.2056	3.943	3.923	0.01013	0	0.01013	0	0	0.5571	37.727	15692.3	1
hs0045	8	7	20.037	0.26733	0.03	99146000	212220000	0	-1.8851	1.688	0.2085	0.2085	3.961	3.941	0.01025	0	0.01025	0	0	0.5576	37.727	16545.6	1
hs0045	9	8	20.042	0.26756	0.03	90566000	211310000	0	-1.8851	1.695	0.2113	0.2113	3.98	3.959	0.01037	0	0.01037	0	0	0.5573	37.727	15918.6	1
hs0045	10	9	20.046	0.26733	0.03	126050000	268330000	0	-1.8851	1.702	0.2141	0.2141	3.998	3.977	0.01048	0	0.01048	0	0	0.5598	37.727	20094.1	1
hs0045	11	10	20.051	0.26756	0.03	110850000	272770000	0	-1.8851	1.708	0.217	0.217	4.016	3.995	0.0106	0	0.0106	0	0	0.5597	37.727	19966.8	1
